user1,s1570|u5775|s8563
user2,m1273|v26ee|m1104|v7e94|m1325|m9910|m9931|m1322|m1329|m1051|m1131|u5775|m1277|m1223|v37d8|m1017|m1035|m9750|m1019|u5682
user3,u5776|m1009|m1123|m1012|m1038|u5777|s1140|s1263|m1025|m1230|u6272|s1158|m1210|m1018|m1288|m1315|m1093|m1092|u5775|m1023|m1005|m1002|m1322
user4,s8412|m1124|m1029|m1070|u5772|m1034|s1042|m1138|m9973|m9648|u5771|m1030|m1284|m1020|s1689|m1007|m1030|s9953|u5685|m1110|m1346|m1092|m1013|s4985|u6015
user5,m1029|m1004|m1014|m1016|s3019|m1002|m1014
user6,m1322|s1047|m1038|m9711|s5015|m1028|m1261|m1233|u5772|m1020|m1283|m1322|m1110|u6512|m1035|m1322|m1317|u5777
user7,m1101|m1032|m1126|m1041|m1375|m9973|m1300|m1039|m9788|m9912|m1360|v679c|s1342
user8,u5648|viqiy|m1322|s2041|m1016|u5775|m1000|va977|m1156|s1140|u5830|m1008|m1283|s1046|v18b1|m1013|m9692|m9648
user9,s1156|s4400|m1275|m9812|s1636|s1265|m1012|s8676|m1057|s2221|s1511|s1041|s5293|s2946|s1097|s9946|m1377|u5773|s1257|s4069|s1721|s1478|s1104|v6a19|s9597|va977|s8927|s1244
user10,u5773|u5777|m9931|m1377|m1322|s1011|m1010|m1322|m1092|m1002|m1005|s8773
user11,u5773|u5773|u6293|m1146|u5771|s9600|s9648|s1164|m1360|u5773|u5686|m1322|s1000|s2294|m1365|m1299|m9910|s9186|u7095|u5775|s1116|u5773|m9845|s3664|s4521|m1360|u5778|m1233|s1507|m1011|s5506
user12,m9649|m1088
user13,m1378|m1224|m1233|m1346|s9123|m1299
user14,m1002|m1016|m1001|s1140|u5772|m1304|m1365
user15,u5773|s1136
user16,m9936|m1126|m9825|m1158|m1006|m1137|u5683|m1317|m1111|m1342|m1016|m1001|m9917|m1084|m1007|m9648
user17,m9922|m1079|m1360|m9800|m1023|m1269|m1322|m9962
user18,s1549|m1002|m1081|s1057|m1272
user19,m9872|m1023|s3850|u7150|u5680
user20,m1360|m1322|m1321|u5772|m9973|m9648|m1351|m1012|m9955|m1116|m1327|m1010|m1112|m1291|u8496|m1052|m1376|m1233|m9967|m1322|m1327|m1322|m1323|m1346|m1346|m1233|u8500|m1322|s1123|m1021|m1370|m9825
user21,m1327|m1036|u5775|u8502|m1086|s1016|m1055|s7541|m1092|s5775|s1544|s7342|u5776|m1015|u5776|m9963|m1004|m1307|m1009|m1099|m1025|s9232|s1648|m1356|m1282|m1322|s4156|m1001|m1365|m1004|m1034|m1344|m1102|m1370
user22,u5672|vd8cb|m1360|m1322|m1377|m9842|u5774|u5650|m1322|u5647|s1401|m1322|m1022|m1034|m1041|u7286|u5650|u6112|u5774|m1322|u5648|m1360|u5777|u5774|u5773|m1016|m9964|m1322|m1023|u5777|m1375|u6112
user23,s3724|m1219|m1367|m1327|m1042|m1376|m1376|m1370|m1360|m1322|m1003|m1322|m1030|m9889|m1015|u5778|m1379|m1090|u5771
user24,m1005|m1322|m1322
user25,m1370
user26,m1006|m9962|m1378|m1304|m1037|m1233|m1030|m1001|m1103|m1089|m1057|m9890|m1207|m1008|m1002|m9998|m1001
user27,m1039|s2325|s1751|m1351|u6628|s1563|s8982|s7525|m1002|s1377|s4413|s9004|s1075|s1034|s1610|u5831|m1016|s3007|u5773|s1088
user28,u5648|u8504|m1093|m1268|s1026|u5773|m9812|m1322|s5537|m1370
user29,m1304|m1283|m1004
user30,m1016|m1030|m1075|u5778|m1104|s2195|m1231|m1032|m1000|u6112|m1008|m1001|m1133
user31,m9778|u5776|m1057|m1327|s1160|m1322|m9998|m1370|m1377|v65ef|u6112|m1029|m1029|m1009|u5683|s7028|m1231|m1052|m9696|m1224|m9948|u8503|m1322
user32,m1244|s1819|u5773|m1203|m1370|s1046|s3189|m1231|m9940|m1088|u5771|u6406|viqiy
user33,m1025|m1248|m9979|m9944|m1288|m1308|m1026|m9910|m1029|m1043|m1306|m1046|m1084|m1012|m1322|u5771|m9952|m1329
user34,u5646|s8074|s1410|u5777|u6272|u5775|s1345|m1231|s2716|s1691|u8498|u5830|m1322|m1133|v1b9f|m1304
user35,m1367|m1113|m1322|m1343
user36,m1005|m1004|s5343|m1000|m1011|u8501|m1128|m9986|m1026|m1149|m1304|m1223|m1035|m9825
user37,u5682|u5648|m1327|u5650|m1360
user38,m9977|v79e2|v051f|m1023|m1360|m1057|s3432|m1003|u6169|m1026|m1304|m1135|m1370
user39,m1102|m1004|m1367|m1028|m1092|m1159|m1105|m1138|m1290|m9888|m9990|m9964|m9812|s1405|m1257|m1345|m1022|m1021|m1093|m1039|m1378|m1018|m1353|m1231|m9732|m1151|m1023|m1324|m1001
user40,m1009|m1009|u5569|u5774|m1020|u5686|u5773|u8504|u6511|u5773|m9991|u5774|m9732
user41,m1322|vd60f|m1289|m1049|v37d8|m1147
user42,s1413|m1137|m1074|u5778|m1004|s1012
user43,m1301|u6290|u8504|m9988
user44,s1367|m1034
user45,u5650|u5648|m1233|m1008|m1125|u5648|m9648
user46,m9711|m1124|m1001|m9927|m1322
user47,m1332|m1092|m1052|s1421|m1322
user48,m1318|m1032|m9923|vd9d6
user49,m1013|m1051|m9921|m1019|u5771|m1057|m9739|viqiy|m1137|m1092|m9797|m9746|m1015|m1365|u5774|m1001|m1013|m1041|m1042|m1017|m1322|m1370|m1023
user50,m1116|m1245|m1041|m1005|m1283|u5773|m1233|m1144
user51,m1097|m1329|m1001|m1180
user52,m1000|m1037|m9797|m1121|m1322|m1108|m1017|m1034|m1026|m1057|s1140|m9813|m1317|m1028|m1370|m1360|m1014|m1003|m1322
user53,m1138|m1224|viqiy|m1016|m1322|m1291|m1322|m1304|m1351
user54,s8706|m1139|m1367|s1738|s5041|m1375|m1289|m1341|v17be|m1008|m1365
user55,m1079|m1043|m1233|s1158|s8852|m1328
user56,s1346
user57,m1322|vba31
user58,u6540|m9872|m1002|m1305|m1233|m9981|m1231|v9490|m1233|m1322|m1002|m1365|m1029|m1322|s4633
user59,m1037|m9913|m1305|m1130
user60,m1021|m1271|u5647|u5672|m1093|m1056|m1361|m1329|m1039|m1301|m1370|m1304|s1016
user61,m1013|m9910|s1277|u5650|m1019
user62,u5835|m1233
user63,m1023|u5648|m1322|m9846|m1328|m1133
user64,s5845|s6021|va7b2|s8627|s7849|s6907
user65,m1346|m1327|m9825
user66,m1088|m9780|u8504|vfc2b
user67,m1043|va7b2
user68,s1576|v54ed|u5738|s1441|u8503|s3104|s6657|m1322|u5773|s1026|m1031|m9944|m1365|v790b
user69,m1080|m1012|m1030|m1165|m1346|u5649|m1061|m1175|m1010|m9950|m1095|m1004|m1043|m1096|m1323
user70,m1039|m1029|m1323|s6443|m1281|m1367|m1230|u5772|m1018|m9975|m1017
user71,s1016|s4773|u5780|m1025|s1522|v679c|m1322|s3208
user72,u6512|m1053|m1351|u6277|m1343|m1287|u5775|m1328
user73,u5774|m1092|m1337|s7136|s2004|m1322|s8338|u5772|m9647|m9977|m1266|u5680|u5771|v2539|u8503|s4378|s2389|u5738|s1124|u6277|m1106|u5777|u5773|m1271|m1344|m1023|u5777
user74,s1741|s5646|m1376|s5883|s1525|s5064|m9845|s7585|vac36|m1322|u5646|u5773|s2548|u5773|m1050|s1280|s1254|s1485|m1026|m1323|m1019|m1370|s8279|u7266|m1053|m1004|vc200|s1204|m1023|s1143
user75,u5771|m1299|m1296|m1370|m1292|u5774
user76,s1316|m9973|s2102|m9931|u5775|m9800|m1375|m1038|s7945|s1010|m1016|s1633|m1276|m1027|m1306|m1033
user77,m1136|s1483|m1053|m1083|s1653|m1016|s1790|v5af0|v47aa|u7323|s7949
user78,m1027|m1329
user79,s4544|m1043|s5218|s8419|u5776|s3437|u8504|s1544|m1015|m1007|u5648|s1236|m1002|v4865|u5773|vdc8c|u5777|u5648|s2395|m1053|v5323|u5773|m9890|s6907
user80,s1667|m1015|s5780|m1360|u8504|u8500|m1370|m1098|m1045
user81,m1039|s1644|s4550|m1353|m1344|m1111|m1233|m9649|s1085|m1301|m1003|m9923|m1329|m1149|m1360|m1328
user82,m1003|m1102|u8504|viqiy|m9747|s1096|m1353|s1021|m1045|m9648|m1374|s1396|m9892|s4884|m9681|m1123|s1421|s1276|m1112|u5773|m1089|m1014|m1010|u5778|m1322|m1343|u5772|m1004|m1018|m9647|m1023|u5772|u5780|u5648|m1089|m1272|m1356|u5773|m1120|m9732|m1207|m1141|m1015|m1016|m1206|m1120|m1023|m1088|m9791|u5773|m1026|m1370
user83,s1409|u7096|m1367|viqiy|m1322|m1133|s8338|s1021|s1009|u7096|s9457|s1544|u5775|s1348|s1420|s6676|m1019|m1304|m1002|s1387|s6467|s1008|s6657|s6907
user84,v17be|m9952
user85,m9921|m1322|m1055|m1017|m9977|m1020|m9789|m1000|m9942
user86,u5773|s1652|m1029|u8503|u5773|m9800|s1167|s1140|u5648|m1291|m9923|m1004|u6910|s4914|m1016|m1307|u5777|s9953|u5774|m1289|u5780|u5748|m9943|m1231|m1030|s3019|m1093
user87,m1136|m1257|m1356|m1360|m1103|u6628|m1307|m1233|m1055|m1092|m1322|m1023|m1322|u8499|u6510
user88,m9977|m1283|m1017|m1346|m1344|m9890|m1140
user89,s1130|u6275|m1322|u5646|m9971|u5779|u6147
user90,m9913|m9990|m1005|m1017|m1001|m1014|m1026|m1233|m9788|m1023|m1005|m1013|m1376|m1015|m9972|m1347
user91,m1322
user92,s2856|s1747|s1257|s5015|m1070|m1008|ve62c|m1322|m1114|s1053|va551|m1366|m1298|m1204|m1322|s1057|m1005|s1396|m9644
user93,u5780
user94,m1304|m1008|m1080|m1036|u5778
user95,m1025|m1322|m1138|m9981|m1001|m1032|v679c|m9973|m1019
user96,m1308|m1360|m1283|m1360|m1093|m1135|m1089|m1111|m1322|s6907|m1327|m1360|m1094|m1005|m1119|m1023|m1137|m9919|m9950|m1145
user97,m1322|s9524|s9123|m1027
user98,m1360|m1081|m1231|m1039|m1322|s1947|m9952
user99,m1043|u5774|m1318|m1207|m1113|m1280|m1007|m1264|m1010|m9813|m9812|m1001|m1011|m1138|m1017|m1307|m1148|m1097|m9778|m1238|m1034|m9988|m1120|m1005|m9681|m1004|m9986|m1302|m1029|m1279|m1262|m1135|u5740|m1122|m1365|m1043|m1081|m1283|m9878|m1025|m1105|m9943|m1014|m1000|m1356|m1005|m1004|m1110|m1019|m9812|m1355|m1028|m1005|m1002|m9839|m1222|m1313|m1115|m1017|m1026|m1001|m1111|u5686|m1014|m1104|m1120|m1231|m9989|m1233|m1008|m9977|m9755|m1020|u6112|m9939
user100,m9845|m1093|s1403|m9943|m1321|s7338|s3485|s1308|m9648|m9647|m1322|m1370|s7820|vd751|m9984|m1317|m1351|s2892|m1343|m1276|m1322|m9649|m1029|m1378|s2776|s1136|m1322|s1829
user101,m9931|s1947|s3830|m1110|m1023|v0e05|m1052
user102,m1270|u5778|m1322|u7229|s7825|m1055|m9980|m1272|m1322|m1137|m1351|m1225|m1257|m1126|m1343|s3210|m1168|s9129|m1321|m1028|u5776|m1017|m1370|s9473|m1103
user103,m1351|m1119|s1767|m9688|s4978|s1057
user104,m1136|m1009|m1360|m1370|m1322|m1026|m1019|s2634|m1141|m1318|m1000|s1150|m1036|m1062|m9997|m9977|m1052|m1013
user105,m1277|m9997|m1019
user106,m1322|s1130|m1119|m1375|m1343|m9904|m1327|u5773|m1041|s8149|m9825
user107,m1120|u5738|s7500|s1191|s1204|u5835|m9647|u5771
user108,m1009|s1130|m1005|m1053|m1322|m1024|m1327|v2539|m1025|m1016|m1031|m1015|u5647|m1041|m1353|m9973|m1025|m9818
user109,m1093|u5778|s7913|v1800
user110,u5771|m1043|s1364|m1051|u5978|m1281|m1088|m1322|m9678|m9660|m1119|u6540|m1091|s1140|m1098|m1007|u5773|u5776|s1114
user111,u5835|m1053|m9888|vcc3a
user112,u7266|s7659|m1327|s1403|s7945|m1092|m1026|s7284
user113,u5738|m1006|s7035|m1007|m9921|m1037|m1025|u7094|m9945|u5773|s1055|m1020|m1010|m1018|u6144|u5648|u8503|u5771|m9648|m1328
user114,m1001|m1378|u5773|m1030|u5775|m1329|m1026|m1016|u5738|m1292|s1045|u5774|m1014|u5771|m1376|m1005
user115,vaebc|s1099|u8503|m1306|m1304|s5602
user116,m1035|s1813|m1231|m1375|m1322
user117,m1304|m9944
user118,s1331|m1017|m1346|m1009|m1329|m1001|v0d91|s8564
user119,m1101|u8502|m1368|m1052|ve51d|m1307|m1371|m1327|m9733
user120,u5780|m9981|m1086|m1013|v6994|m1100|m1009|m1027|u5738|s2610|u5774|m9942|m1037|m1038|m1308|m1012|m9845|u5683|m1041|v63b0|m1052|m1231|u5773|m1023|m1206|u7435|m1052
user121,s1130|m9910|m1281|u5738|m1322|m1117|m1090|m1053|m1322|m1301|m1329
user122,m1132|m1032|m1120
user123,m1368|s1231|u5648|m1322|m1017|m1240|m1375|s8361|m1303|m1016|u6276|m1139|s1480|u5773|s1116|m1322|s8596|m9904|m1019|m1360|v5838|s1409|u5771|m1344|m1051|s9078|m9952
user124,u5773|s7224|s1969|u8504|u5776|u6272|m1322|s9131|u8503
user125,m9974|m1004|m1028|m1305|m1016|m1346|m1021|m1129|m1344|m1055|m1303|m9905|m1142|m1095|m1041|m1135|m1204|m9844|m1214|m9644
user126,u5771|u8504|m1122|m9971|m1297|s1097|m1322|m1322
user127,m1026|m1368|u5780|m1281|m1092|s1389|m1328|u5778|m1322|m1013|m1020|m9807|u5676|m1360|m1012|s1332|m1322|m1353|m1146|m9986|s7005|m1052|m9825|u5772|m1322|m1351|m1143|m1053|v7d5f|s5834|u6112|u5774|m9967|s6657|m1021|m1327|m1031|u6247
user128,m1029|m1287|m1322|m1016|v3b16|m9978
user129,u5680|s3668|m1023|m1322|v17be|m1011|m1133|s7542|s1636|v6994|s1361|s1042|m1322|s1140|s3786|m1032|u5771|s2762|s8162|m1012|m1103|s6833|m1002|u5646|m1156|u5773|u5777|m9733|s7386|m1026
user130,m1346|m1360|m1008|s1167|m1023|m9973
user131,m1097|m1351|v723b|m1041|u8499
user132,m1327|u5777|m1001|m1281|s1446|m1102|m1001|m1026|m9657|s1130|m1106|m1038|m1004|m1001|m1370|u5646|m9677|m1308|m1360|m9910|u5772|m1360|u5686|m1241|m9755|m1360|s1137|m1006|u5648|m1051|m1337|m1370|s8391|vaf46|m1343
user133,m1008|m9904|m1233|s4539|s3886|s1080|m1301|s5001|m1356|m1121
user134,u5773|m1029|m1004|m1258|m1361|m1032|s1046|s1358|m1030|s1212|s6907
user135,m1345|u5648|s7724|m1140|m9966|u5686|s1309|u5646|u7094|u5650|m1029|u8502|m1322|m1079|m1008|u8504|u7094
user136,m1039|m1005|m1012|m1004|m1377|u5771|m1322|s6793|m9825
user137,s1097|m1322|s1511|m1018
user138,m1322|m1303|v17be|m1105|m9644|u8502|m1017|m1096|m1112|m1029|m1196|m1052|m1323|m1054|m1360|m1026|m1365|m1019|m1322|m1324|m1005|m1009
user139,m1136|m9872|s9882|m1093|m9929|s1441|m1344|m1045|m1322|m1095|m9785|u6529|m1026|m1014|m1052
user140,u6112|m1322|m9664|u5775|m1003|m1025|u5776|v74d1|s1122|s1170|u6439
user141,u5772|m1134|m1141|u5777|vf752
user142,u5773|m1055|s1844|s1218|m9910|u5773|m1370|m9952|m1233|v3d88|m1307|s1811|s1057|s1313|m1022|u5670
